Exam Code,Modality
0159T,MR
10022,IR
10030,IR
10160,IR
19000,MG
19083,MG
19084,MG
19085,MR
19102,MG
19103,MG
19103A,MR
19281,MG
19295,MG
20206,IR
20225,IR
20500,IR
20610D,IR
20610R,IR
20612,IR
23350,IR
24220,IR
25246,IR
27093,IR
27093R,IR
27370,FL
32405,IR
32550,IR
32552,IR
32555,IR
32557,IR
35476,IR
36005,IR
36140,IR
36147L,IR
36147R,IR
36222,IR
36223,IR
36253R,IR
36556,IR
36558,IR
36561,IR
36561R,IR
36569,IR
36576,IR
36580,IR
36581,IR
36582,IR
36584,IR
36589,IR
36590,IR
36597,IR
36598,IR
36870,IR
36901,IR
36902,IR
36903,IR
36906,IR
37187,IR
37191,IR
37192,IR
37193,IR
37197,IR
37238,IR
37241,IR
37250,IR
37620,IR
38505,IR
43752,IR
44500,IR
47490,IR
47531,IR
49083,IR
49180,IR
49185,IR
49400,IR
49405,IR
49406P,IR
49406R,IR
49407TR,IR
49407TV,IR
49418,IR
49423,IR
49424,IR
49440,IR
49441,IR
49446,IR
49450,IR
49451,IR
49452,IR
49465,IR
50386L,IR
50387,IR
50389,IR
50398B,IR
50398L,IR
50398R,IR
50431B,IR
50431L,IR
50431R,IR
50432B,IR
50432L,IR
50432R,IR
50433L,IR
50433R,IR
50435,IR
50435L,IR
50435R,IR
50690,IR
50693B,IR
50693L,IR
50693R,IR
58340,IR
62270,IR
62305,IR
70100,XR
70110,XR
70140,XR
70150FB,XR
70150ZA,XR
70160,XR
70200,XR
70220,XR
70260,XR
70355,XR
70360,XR
70450,CT
70460,CT
70470,CT
70486,CT
70491,CT
70492,CT
70496,CT
70498,CT
70543,MR
70544R,MRA
70547,MR
70551,MR
70553,MR
71010,XR
710101V,XR
71010CNWEE,XR
71020,XR
71100L,XR
71100R,XR
71101L,XR
71101R,XR
71111RC,XR
71120,XR
71130,XR
71250,CT
71260,CT
71270,CT
71275,CT
71555C,MRA
72020CS,XR
72020LS,XR
72020TS,XR
72040,XR
72040CS,XR
72050,XR
72050CSFE,XR
72050CSR4,XR
72052,XR
72070,XR
72070TS2V,XR
72072,XR
72080,XR
72080TLS,XR
72090,XR
72100,XR
72100LS23,XR
72100LSFE,XR
72110,XR
72110LSFE,XR
72110LSR,XR
72114,XR
72114LSC,XR
72125,CT
72126,CT
72128,CT
72129,CT
72131,CT
72141,MR
72148,MR
72149,MR
72156,MR
72158,MR
72170,XR
721702V,XR
72190,XR
72192,CT
72192M,CT
72193,CT
72193M,CT
72194M,CT
72196,MR
72197,MR
72198,MRA
72202,XR
72220,XR
73000BI,XR
73000L,XR
73000R,XR
73010L,XR
73010R,XR
73020S1L,XR
73030,XR
73030L,XR
73030R,XR
73050,XR
73060L,XR
73060R,XR
73070,XR
73070EL,XR
73070ER,XR
73080,XR
73080L,XR
73080R,XR
73090,XR
73090L,XR
73090R,XR
73100,XR
73100WL,XR
73100WR,XR
73110,XR
73110L,XR
73110R,XR
73115,XR
73120,XR
73120HL,XR
73120HR,XR
73120L,XR
73120R,XR
73130,XR
73130L,XR
73130R,XR
73140,XR
73140F2L,XR
73140F2R,XR
73140F3L,XR
73140F3R,XR
73140F4L,XR
73140F4R,XR
73140F5L,XR
73140F5R,XR
73140FTHL,XR
73140FTHR,XR
73140ML,XR
73140MR,XR
73200,CT
73201,CT
73202,CT
73221,MR
73222,MR
73223,MR
73500,XR
73500HL,XR
73500HR,XR
73500L,XR
73501,XR
73502,XR
73502L,XR
73502R,XR
73510,XR
73510L,XR
73510R,XR
73520HPBI,XR
73522,XR
73550,XR
73550L,XR
73550R,XR
73560,XR
73560KL,XR
73560KR,XR
73562,XR
73562L,XR
73562R,XR
73564,XR
73564L,XR
73564R,XR
73565,XR
73590,XR
73590L,XR
73590R,XR
73600,XR
73600AL,XR
73600AR,XR
73600L,XR
73600R,XR
73610,XR
73610L,XR
73610R,XR
73620FL,XR
73620FR,XR
73620FSTL,XR
73620L,XR
73620R,XR
73630,XR
73630L,XR
73630R,XR
73650L,XR
73650R,XR
73660,XR
73660ML,XR
73660MR,XR
73660T2L,XR
73660T2R,XR
73660T3L,XR
73660T3R,XR
73660T4L,XR
73660T4R,XR
73660T5L,XR
73660T5R,XR
73660TGRL,XR
73660TGRR,XR
73700,CT
73700C,CT
73701D,CT
73718,MR
73721,MR
73721B,MR
73722,MR
73723,MR
74000,XR
74000AP,XR
74000KUB,XR
74150,CT
74160,CT
74174,CT
74175,CT
74176,CT
74177,CT
74178,CT
74178U,CT
74183,MR
74185A,MRA
74185C,MRA
74230,FL
74261,CT
74270,FL
74270D,FL
74330,IR
74340,FL
74425B,IR
74425L,IR
74425R,IR
74475B,IR
74475L,IR
74475R,IR
74480SL,IR
